"VACCINE_GROUP","NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","NOTES"
"Flu","Kew Gardens",11415,51,"11415","6 months - 4 years",509,1004,"2020 - 21","Q4",NA
"Flu","Ozone Park",11416,67,"11416","6 months - 4 years",1030,1532,"2020 - 21","Q4",NA
"Flu","Ozone Park",11417,57,"11417","6 months - 4 years",923,1627,"2020 - 21","Q4",NA
"Flu","Richmond Hill",11418,54,"11418","6 months - 4 years",1150,2118,"2020 - 21","Q4",NA
"Flu","Richmond Hill/South Ozone Park",11419,50,"11419","6 months - 4 years",1207,2414,"2020 - 21","Q4",NA
"Flu","South Ozone Park",11420,42,"11420","6 months - 4 years",1065,2506,"2020 - 21","Q4",NA
"Flu","Woodhaven",11421,52,"11421","6 months - 4 years",1098,2126,"2020 - 21","Q4",NA
"Flu","Rosedale",11422,30,"11422","6 months - 4 years",453,1503,"2020 - 21","Q4",NA
"Flu","Hollis/Holliswood",11423,66,"11423","6 months - 4 years",815,1238,"2020 - 21","Q4",NA
"Flu","Bellerose",11426,47,"11426","6 months - 4 years",433,926,"2020 - 21","Q4",NA
"Flu","Bellerose/Hollis Hills/Holliswood",11427,45,"11427","6 months - 4 years",523,1160,"2020 - 21","Q4",NA
"Flu","Queens Village",11428,45,"11428","6 months - 4 years",422,936,"2020 - 21","Q4",NA
"Flu","Queens Village",11429,63,"11001, 11429","6 months - 4 years",817,1301,"2020 - 21","Q4",NA
"Flu","Hillcrest/Jamaica Estates/Jamaica Hills",11432,80,"11432","6 months - 4 years",2578,3237,"2020 - 21","Q4",NA
"Flu","Jamaica",11433,49,"11433","6 months - 4 years",1060,2159,"2020 - 21","Q4",NA
"Flu","Airport/South Jamaica/Springfield Gardens/St. Albans",11434,38,"11434","6 months - 4 years",1296,3454,"2020 - 21","Q4",NA
"Flu","Briarwood/Jamaica",11435,59,"11435","6 months - 4 years",1938,3260,"2020 - 21","Q4",NA
"Flu","South Jamaica/South Ozone Park",11436,39,"11436","6 months - 4 years",457,1186,"2020 - 21","Q4",NA
"Flu","Edgemere/Far Rockaway",11691,41,"11691","6 months - 4 years",2154,5285,"2020 - 21","Q4",NA
"Flu","Arverne/Edgemere",11692,31,"11692","6 months - 4 years",503,1624,"2020 - 21","Q4",NA
"Flu","Arverne/Broad Channel",11693,31,"11693","6 months - 4 years",222,706,"2020 - 21","Q4",NA
"Flu","Belle Harbor-Neponsit/Rockaway Park",11694,47,"11694","6 months - 4 years",461,990,"2020 - 21","Q4",NA
"Flu","Breezy Point",11697,61,"11697","6 months - 4 years",99,161,"2020 - 21","Q4",NA
